case_id,question_ar,department_code,department_ar,operational_metric,operational_metric_ar,synthetic_value,unit,risk_status,question_tool,question_tool_type,question_type,list,answer_type,intent,cognitive_level,subjectivity,temporal_context,expected_time_scope,purpose_context,bi_purpose_target,expected_answer_form,reference_answer_ar,direct_answer_without_conditioning_ar,conditioned_answer_ar,answer_form_adherent_without,answer_form_adherent_with,temporal_adherent_without,temporal_adherent_with,purpose_aligned_without,purpose_aligned_with,split,notes,AAFAQ_QuestionID,AAFAQ_QuestionText,AAFAQ_QuestionParticle,AAFAQ_QuestionParticleType,AAFAQ_QuestionType,AAFAQ_List,AAFAQ_AnswerType,AAFAQ_Intent,AAFAQ_CognitiveLevel,AAFAQ_Category,AAFAQ_ComplexityLevel,AAFAQ_Subjectivity,AAFAQ_TemporalContext,AAFAQ_PurposeContext,AAFAQ_AnswerSourceText,AAFAQ_Answer
HBI-0001,هل يظهر تقرير الأداء عن معدل إشغال الأسرة في العناية المركزة في الربع الأول من 2026 خلال الوردية الصباحية؟,ICU,العناية المركزة,bed occupancy,معدل إشغال الأسرة,70.0,%,منخفض,هل,implicit_question,factoid,single,number,information,comprehension,objective,specific_time,في الربع الأول من 2026,information_gathering,reporting,numeric_value_with_unit,معدل إشغال الأسرة في العناية المركزة في الربع الأول من 2026 يساوي 70.0 %، ويصنف تشغيليًا بأنه منخفض.,معدل إشغال الأسرة في العناية المركزة في الربع الأول من 2026 يساوي 70.0 %، ويصنف تشغيليًا بأنه منخفض.,الوضع في العناية المركزة يحتاج إلى متابعة عامة لأن المؤشر يبدو غير مستقر.,1,0,1,1,1,1,case_study_test,synthetic hospital BI question; no patient-level or real hospital record used,600001,هل يظهر تقرير الأداء عن معدل إشغال الأسرة في العناية المركزة في الربع الأول من 2026 خلال الوردية الصباحية؟,هل,أداة استفهام,واقعي,FALSE,رقم,معلوماتي,فهم,الصحة,منخفض,موضوعي,وقت محدد,جمع المعلومات,بيان تركيبي لأغراض دراسة حالة ذكاء الأعمال بالمستشفى: في العناية المركزة، كانت قيمة معدل إشغال الأسرة 70.0 % ضمن النطاق الزمني (في الربع الأول من 2026). حالة المخاطر التشغيلية: منخفض. لا يمثل هذا البيان سجلات مستشفى حقيقية أو بيانات مرضى.,معدل إشغال الأسرة في العناية المركزة في الربع الأول من 2026 يساوي 70.0 %، ويصنف تشغيليًا بأنه منخفض.
HBI-0002,أي إجراء يجب اتخاذه لتحسين متوسط مدة الإقامة في العيادات الخارجية اليوم خلال الوردية المسائية؟,OPD,العيادات الخارجية,length of stay,متوسط مدة الإقامة,3.4,يوم,منخفض,هل,imperative_like_request,non_factoid,single,description,planning,evaluation,objective,present,اليوم,decision_making,decision_support,short_explanatory_sentence,بناءً على قيمة متوسط مدة الإقامة في العيادات الخارجية اليوم وهي 3.4 يوم، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.,بناءً على قيمة متوسط مدة الإقامة في العيادات الخارجية اليوم وهي 3.4 يوم، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.,بناءً على قيمة متوسط مدة الإقامة في العيادات الخارجية اليوم وهي 3.4 يوم، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.,1,1,1,1,1,1,case_study_test,synthetic hospital BI question; no patient-level or real hospital record used,600002,أي إجراء يجب اتخاذه لتحسين متوسط مدة الإقامة في العيادات الخارجية اليوم خلال الوردية المسائية؟,أي,أداة استفهام,غير واقعي,FALSE,وصف,تخطيط,تقييم,الصحة,عالي,موضوعي,حاضر,اتخاذ القرارات,بيان تركيبي لأغراض دراسة حالة ذكاء الأعمال بالمستشفى: في العيادات الخارجية، كانت قيمة متوسط مدة الإقامة 3.4 يوم ضمن النطاق الزمني (اليوم). حالة المخاطر التشغيلية: منخفض. لا يمثل هذا البيان سجلات مستشفى حقيقية أو بيانات مرضى.,بناءً على قيمة متوسط مدة الإقامة في العيادات الخارجية اليوم وهي 3.4 يوم، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.
HBI-0003,ما قيمة نسبة إلغاء العمليات في الصيدلية خلال في الربع الأول من 2026؟,PHARM,الصيدلية,surgery cancellation rate,نسبة إلغاء العمليات,5.4,%,منخفض,ما,simple_interrogative,factoid,single,number,information,comprehension,objective,specific_time,في الربع الأول من 2026,information_gathering,reporting,numeric_value_with_unit,نسبة إلغاء العمليات في الصيدلية في الربع الأول من 2026 يساوي 5.4 %، ويصنف تشغيليًا بأنه منخفض.,يجب إعادة توزيع الموارد فورًا بناءً على نسبة إلغاء العمليات.,نسبة إلغاء العمليات في الصيدلية في الربع الأول من 2026 يساوي 5.4 %، ويصنف تشغيليًا بأنه منخفض.,1,1,1,1,0,1,case_study_test,synthetic hospital BI question; no patient-level or real hospital record used,600003,ما قيمة نسبة إلغاء العمليات في الصيدلية خلال في الربع الأول من 2026؟,ما,أداة استفهام,واقعي,FALSE,رقم,معلوماتي,فهم,الصحة,منخفض,موضوعي,وقت محدد,جمع المعلومات,بيان تركيبي لأغراض دراسة حالة ذكاء الأعمال بالمستشفى: في الصيدلية، كانت قيمة نسبة إلغاء العمليات 5.4 % ضمن النطاق الزمني (في الربع الأول من 2026). حالة المخاطر التشغيلية: منخفض. لا يمثل هذا البيان سجلات مستشفى حقيقية أو بيانات مرضى.,نسبة إلغاء العمليات في الصيدلية في الربع الأول من 2026 يساوي 5.4 %، ويصنف تشغيليًا بأنه منخفض.
HBI-0004,لماذا ارتفع زمن إنجاز تقارير الأشعة في قسم الطوارئ اليوم في المنطقة ب خلال الوردية الليلية؟,ED,قسم الطوارئ,radiology turnaround time,زمن إنجاز تقارير الأشعة,1.9,ساعة,منخفض,ما,implicit_question,non_factoid,single,description,suggestion,analysis,objective,present,اليوم,problem_solving,decision_support,short_explanatory_sentence,القيمة المسجلة لـ زمن إنجاز تقارير الأشعة في قسم الطوارئ اليوم هي 1.9 ساعة. يشير المستوى منخفض إلى ضرورة مراجعة الطاقة الاستيعابية وتوزيع الطاقم ومسار الخدمة.,زمن إنجاز تقارير الأشعة هو مؤشر تشغيلي يعبر عن أداء الخدمة في قسم الطوارئ.,القيمة المسجلة لـ زمن إنجاز تقارير الأشعة في قسم الطوارئ اليوم هي 1.9 ساعة. يشير المستوى منخفض إلى ضرورة مراجعة الطاقة الاستيعابية وتوزيع الطاقم ومسار الخدمة.,0,1,1,1,0,1,case_study_test,synthetic hospital BI question; no patient-level or real hospital record used,600004,لماذا ارتفع زمن إنجاز تقارير الأشعة في قسم الطوارئ اليوم في المنطقة ب خلال الوردية الليلية؟,لماذا,أداة استفهام,غير واقعي,FALSE,وصف,اقتراح,تحليل,الصحة,متوسط,موضوعي,حاضر,حل المشكلات,بيان تركيبي لأغراض دراسة حالة ذكاء الأعمال بالمستشفى: في قسم الطوارئ، كانت قيمة زمن إنجاز تقارير الأشعة 1.9 ساعة ضمن النطاق الزمني (اليوم). حالة المخاطر التشغيلية: منخفض. لا يمثل هذا البيان سجلات مستشفى حقيقية أو بيانات مرضى.,القيمة المسجلة لـ زمن إنجاز تقارير الأشعة في قسم الطوارئ اليوم هي 1.9 ساعة. يشير المستوى منخفض إلى ضرورة مراجعة الطاقة الاستيعابية وتوزيع الطاقم ومسار الخدمة.
HBI-0005,كم قيمة متوسط وقت انتظار الطوارئ في قسم الأشعة خلال الشهر الماضي؟,RAD,قسم الأشعة,emergency waiting time,متوسط وقت انتظار الطوارئ,66,دقيقة,مرتفع,كم,implicit_question,factoid,single,number,information,comprehension,objective,past,الشهر الماضي,information_gathering,reporting,numeric_value_with_unit,متوسط وقت انتظار الطوارئ في قسم الأشعة الشهر الماضي يساوي 66 دقيقة، ويصنف تشغيليًا بأنه مرتفع.,يجب إعادة توزيع الموارد فورًا بناءً على متوسط وقت انتظار الطوارئ.,متوسط وقت انتظار الطوارئ في قسم الأشعة الشهر الماضي يساوي 66 دقيقة، ويصنف تشغيليًا بأنه مرتفع.,1,1,1,1,0,1,case_study_test,synthetic hospital BI question; no patient-level or real hospital record used,600005,كم قيمة متوسط وقت انتظار الطوارئ في قسم الأشعة خلال الشهر الماضي؟,كم,أداة استفهام,واقعي,FALSE,رقم,معلوماتي,فهم,الصحة,منخفض,موضوعي,ماضي,جمع المعلومات,بيان تركيبي لأغراض دراسة حالة ذكاء الأعمال بالمستشفى: في قسم الأشعة، كانت قيمة متوسط وقت انتظار الطوارئ 66 دقيقة ضمن النطاق الزمني (الشهر الماضي). حالة المخاطر التشغيلية: مرتفع. لا يمثل هذا البيان سجلات مستشفى حقيقية أو بيانات مرضى.,متوسط وقت انتظار الطوارئ في قسم الأشعة الشهر الماضي يساوي 66 دقيقة، ويصنف تشغيليًا بأنه مرتفع.
HBI-0006,ما القرار التشغيلي المناسب إذا استمر متوسط تأخر صرف الدواء في العناية المركزة الشهر الماضي في المنطقة هـ؟,ICU,العناية المركزة,pharmacy delay,متوسط تأخر صرف الدواء,39,دقيقة,متوسط,هل,imperative_like_request,non_factoid,single,boolean,planning,evaluation,objective,past,الشهر الماضي,decision_making,decision_support,yes_no_with_brief_rationale,بناءً على قيمة متوسط تأخر صرف الدواء في العناية المركزة الشهر الماضي وهي 39 دقيقة، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.,بناءً على قيمة متوسط تأخر صرف الدواء في العناية المركزة الشهر الماضي وهي 39 دقيقة، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.,في العام الماضي كان متوسط تأخر صرف الدواء في العناية المركزة قريبًا من 39 دقيقة مع تغيرات موسمية.,1,1,1,0,1,0,case_study_test,synthetic hospital BI question; no patient-level or real hospital record used,600006,ما القرار التشغيلي المناسب إذا استمر متوسط تأخر صرف الدواء في العناية المركزة الشهر الماضي في المنطقة هـ؟,ما,أداة استفهام,غير واقعي,FALSE,نعم/لا,تخطيط,تقييم,الصحة,عالي,موضوعي,ماضي,اتخاذ القرارات,بيان تركيبي لأغراض دراسة حالة ذكاء الأعمال بالمستشفى: في العناية المركزة، كانت قيمة متوسط تأخر صرف الدواء 39 دقيقة ضمن النطاق الزمني (الشهر الماضي). حالة المخاطر التشغيلية: متوسط. لا يمثل هذا البيان سجلات مستشفى حقيقية أو بيانات مرضى.,بناءً على قيمة متوسط تأخر صرف الدواء في العناية المركزة الشهر الماضي وهي 39 دقيقة، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.
HBI-0007,كيف يمكن تقليل متوسط مدة الإقامة في قسم الطوارئ اليوم؟,ED,قسم الطوارئ,length of stay,متوسط مدة الإقامة,4.7,يوم,متوسط,لماذا,simple_interrogative,non_factoid,single,description,suggestion,analysis,objective,present,اليوم,problem_solving,decision_support,short_explanatory_sentence,القيمة المسجلة لـ متوسط مدة الإقامة في قسم الطوارئ اليوم هي 4.7 يوم. يشير المستوى متوسط إلى ضرورة مراجعة الطاقة الاستيعابية وتوزيع الطاقم ومسار الخدمة.,القيمة المسجلة لـ متوسط مدة الإقامة في قسم الطوارئ اليوم هي 4.7 يوم. يشير المستوى متوسط إلى ضرورة مراجعة الطاقة الاستيعابية وتوزيع الطاقم ومسار الخدمة.,القيمة المسجلة لـ متوسط مدة الإقامة في قسم الطوارئ اليوم هي 4.7 يوم. يشير المستوى متوسط إلى ضرورة مراجعة الطاقة الاستيعابية وتوزيع الطاقم ومسار الخدمة.,1,1,1,1,1,1,case_study_test,synthetic hospital BI question; no patient-level or real hospital record used,600007,كيف يمكن تقليل متوسط مدة الإقامة في قسم الطوارئ اليوم؟,كيف,أداة استفهام,غير واقعي,FALSE,وصف,اقتراح,تحليل,الصحة,متوسط,موضوعي,حاضر,حل المشكلات,بيان تركيبي لأغراض دراسة حالة ذكاء الأعمال بالمستشفى: في قسم الطوارئ، كانت قيمة متوسط مدة الإقامة 4.7 يوم ضمن النطاق الزمني (اليوم). حالة المخاطر التشغيلية: متوسط. لا يمثل هذا البيان سجلات مستشفى حقيقية أو بيانات مرضى.,القيمة المسجلة لـ متوسط مدة الإقامة في قسم الطوارئ اليوم هي 4.7 يوم. يشير المستوى متوسط إلى ضرورة مراجعة الطاقة الاستيعابية وتوزيع الطاقم ومسار الخدمة.
HBI-0008,هل نحتاج إلى إعادة توزيع الموارد في العيادات الخارجية بناءً على عبء العمل على الطاقم في الربع الأول من 2026 في المنطقة ب خلال الوردية الليلية؟,OPD,العيادات الخارجية,staff workload,عبء العمل على الطاقم,18.5,حالة/موظف,متوسط,هل,simple_interrogative,non_factoid,single,boolean,planning,evaluation,objective,specific_time,في الربع الأول من 2026,decision_making,decision_support,yes_no_with_brief_rationale,بناءً على قيمة عبء العمل على الطاقم في العيادات الخارجية في الربع الأول من 2026 وهي 18.5 حالة/موظف، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.,عبء العمل على الطاقم هو مؤشر تشغيلي يعبر عن أداء الخدمة في العيادات الخارجية.,بناءً على قيمة عبء العمل على الطاقم في العيادات الخارجية في الربع الأول من 2026 وهي 18.5 حالة/موظف، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.,1,1,1,1,0,1,case_study_test,synthetic hospital BI question; no patient-level or real hospital record used,600008,هل نحتاج إلى إعادة توزيع الموارد في العيادات الخارجية بناءً على عبء العمل على الطاقم في الربع الأول من 2026 في المنطقة ب خلال الوردية الليلية؟,هل,أداة استفهام,غير واقعي,FALSE,نعم/لا,تخطيط,تقييم,الصحة,عالي,موضوعي,وقت محدد,اتخاذ القرارات,بيان تركيبي لأغراض دراسة حالة ذكاء الأعمال بالمستشفى: في العيادات الخارجية، كانت قيمة عبء العمل على الطاقم 18.5 حالة/موظف ضمن النطاق الزمني (في الربع الأول من 2026). حالة المخاطر التشغيلية: متوسط. لا يمثل هذا البيان سجلات مستشفى حقيقية أو بيانات مرضى.,بناءً على قيمة عبء العمل على الطاقم في العيادات الخارجية في الربع الأول من 2026 وهي 18.5 حالة/موظف، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.
HBI-0009,هل نحتاج إلى إعادة توزيع الموارد في العناية المركزة بناءً على استخدام الموارد الشهر الماضي؟,ICU,العناية المركزة,resource utilization,استخدام الموارد,66.5,%,منخفض,هل,implicit_question,non_factoid,single,boolean,planning,evaluation,objective,past,الشهر الماضي,decision_making,decision_support,yes_no_with_brief_rationale,بناءً على قيمة استخدام الموارد في العناية المركزة الشهر الماضي وهي 66.5 %، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.,بناءً على قيمة استخدام الموارد في العناية المركزة الشهر الماضي وهي 66.5 %، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.,بناءً على قيمة استخدام الموارد في العناية المركزة الشهر الماضي وهي 66.5 %، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.,1,1,1,1,1,1,case_study_test,synthetic hospital BI question; no patient-level or real hospital record used,600009,هل نحتاج إلى إعادة توزيع الموارد في العناية المركزة بناءً على استخدام الموارد الشهر الماضي؟,هل,أداة استفهام,غير واقعي,FALSE,نعم/لا,تخطيط,تقييم,الصحة,عالي,موضوعي,ماضي,اتخاذ القرارات,بيان تركيبي لأغراض دراسة حالة ذكاء الأعمال بالمستشفى: في العناية المركزة، كانت قيمة استخدام الموارد 66.5 % ضمن النطاق الزمني (الشهر الماضي). حالة المخاطر التشغيلية: منخفض. لا يمثل هذا البيان سجلات مستشفى حقيقية أو بيانات مرضى.,بناءً على قيمة استخدام الموارد في العناية المركزة الشهر الماضي وهي 66.5 %، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.
HBI-0010,ما القرار التشغيلي المناسب إذا استمر متوسط وقت انتظار الطوارئ في قسم الطوارئ في الربع الأول من 2026؟,ED,قسم الطوارئ,emergency waiting time,متوسط وقت انتظار الطوارئ,61,دقيقة,مرتفع,هل,simple_interrogative,non_factoid,single,boolean,planning,evaluation,objective,specific_time,في الربع الأول من 2026,decision_making,decision_support,yes_no_with_brief_rationale,بناءً على قيمة متوسط وقت انتظار الطوارئ في قسم الطوارئ في الربع الأول من 2026 وهي 61 دقيقة، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.,متوسط وقت انتظار الطوارئ هو مؤشر تشغيلي يعبر عن أداء الخدمة في قسم الطوارئ.,بناءً على قيمة متوسط وقت انتظار الطوارئ في قسم الطوارئ في الربع الأول من 2026 وهي 61 دقيقة، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.,1,1,1,1,0,1,case_study_test,synthetic hospital BI question; no patient-level or real hospital record used,600010,ما القرار التشغيلي المناسب إذا استمر متوسط وقت انتظار الطوارئ في قسم الطوارئ في الربع الأول من 2026؟,ما,أداة استفهام,غير واقعي,FALSE,نعم/لا,تخطيط,تقييم,الصحة,عالي,موضوعي,وقت محدد,اتخاذ القرارات,بيان تركيبي لأغراض دراسة حالة ذكاء الأعمال بالمستشفى: في قسم الطوارئ، كانت قيمة متوسط وقت انتظار الطوارئ 61 دقيقة ضمن النطاق الزمني (في الربع الأول من 2026). حالة المخاطر التشغيلية: مرتفع. لا يمثل هذا البيان سجلات مستشفى حقيقية أو بيانات مرضى.,بناءً على قيمة متوسط وقت انتظار الطوارئ في قسم الطوارئ في الربع الأول من 2026 وهي 61 دقيقة، يوصى بمراجعة الخطة التشغيلية وتوجيه الموارد نحو نقاط الاختناق ذات الأولوية.
